Camp,Ticker,status,Company,allocation,Why it matters
STARGATE,NVDA,public,Nvidia,65 %,"First $5 trn chip firm; Blackwell supplier"
STARGATE,ORCL,public,Oracle,100 %,"Stargate landlord; 1 GW Texas campus"
STARGATE,AMZN,public,"Amazon / AWS",100 %,"Anthropic backer; named tech partner"
STARGATE,SFTBY,public,SoftBank,100 %,"Stargate chairman; $140 B liquidity"
STARGATE,AVGO,public,Broadcom,100 %,"Custom AI NICs & co-packaged optics"
STARGATE,ANTH,private,Anthropic,100 %,"AWS-trained hedge inside Stargate"
STARGATE,STRIPE,private,Stripe,100 %,"Anchor AI-cloud tenant"
STARGATE,AFRM,public,Affirm,100 %,"Altman ally; consumer-credit GPU workloads"
STARGATE,REVOLUT,private,Revolut,100 %,"Part of Altman fintech coalition"
STARGATE,PLUG,public,"Plug Power",100 %,"24/7 green hydrogen for AI racks"
STARGATE,TERA,private,"Terawatt Infra",100 %,"Gigawatt data-center power broker"
STARGATE,JPM,public,"JPMorgan Chase",100 %,"Stargate’s preferred debt arranger & AI-risk partner"
STARGATE,GS,public,"Goldman Sachs",100 %,"Co-lead Stargate project-finance book-runner"
STARGATE,GE,public,"General Electric",40 %,"Aero-engines & power turbines; dual-use export rules favor Defense camp"
STARGATE,CSCO,public,"Cisco Systems",100 %,"Silicon-One AI fabric inside Stargate racks"
STARGATE,QCOM,public,Qualcomm,40 %,"Edge-AI inference chips; Oryon CPU for Stargate gateways"
STARGATE,ANET,public,"Arista Networks",40 %,"Ultra-low-latency switches for Stargate leaf-spine fabric"
STARGATE,RUBIO,gov,"State Department",100 %,"Neo-Con policy veto-point; export-license gatekeeper for Stargate gear"
META,AAPL,public,Apple,100 %,"On-device AI vs cloud Stargate"
META,MSFT,public,Microsoft,100 %,"Outside OpenAI investor + Athena cluster"
META,GOOGL,public,Alphabet,100 %,"Gemini; EU-alignment lobbying"
META,META,public,Meta,100 %,"Llama open-weights vs OpenAI lock-in"
META,SNOW,public,Snowflake,100 %,"Enterprise cloud; anti-Stargate lock-in"
META,CRM,public,Salesforce,100 %,"Anti-lock-in voice; ESG governance"
META,DATABRICKS,private,Databricks,100 %,"OSS Delta Lake vs proprietary stack"
META,AMD,public,AMD,70 %,"MI300 GPU alternative to Nvidia"
META,INTC,public,Intel,50 %,"Ohio fabs + x86 legacy keep it split"
META,Hoffman,private,"LinkedIn-Greylock",100 %,"Dem donor; “aligned AI” advocacy"
META,Benioff,private,"Salesforce founder",100 %,"Same policy bloc"
META,NFLX,public,Netflix,100 %,"Hollywood data flywheel; Meta AI content partner"
META,UBER,public,Uber,100 %,"Mobility data + delivery ML stack; Google Maps API leverage"
META,NEWSOM,gov,"Governor of California",100 %,"State-level AI-safety veto; CA data-privacy gatekeeper"
MUSK,TSLA,public,Tesla,90 %,"EV cash-cow funds DOGE & Starlink"
MUSK,PLTR,public,Palantir,100 %,"Thiel-founded; DoD Gotham OS"
MUSK,RKLB,public,"Rocket Lab",100 %,"Alternate launch; Palantir investor"
MUSK,C3.AI,public,"C3.ai",100 %,"Small-cap Palantir cousin; DoD deals"
MUSK,RTX,public,"RTX (Raytheon)",80 %,"Prime missile & radar house; Thiel camp pushes ITAR expansion"
MUSK,LMT,public,"Lockheed Martin",80 %,"F-35 prime; benefits from Defense camp budget hikes"
MUSK,GE,public,"General Electric",60 %,"Aero-engines & power turbines; dual-use export rules favor Defense camp"
MUSK,SPCX,private,SpaceX,95 %,"Launch monopoly; Taiwan kill-switch"
MUSK,xAI,private,xAI,90 %,"Musk GPU play; DOGE pipeline"
MUSK,SCALE,private,"Scale AI",100 %,"Founders-Fund; defense labeling"
MUSK,ANDUR,private,Anduril,100 %,"Fast-growing Pentagon contractor"
MUSK,DOGE,gov,"Dept Gov Efficiency",100 %,"Musk-chaired privatized OMB"
MUSK,"VP Vance",gov,"Office of VP",100 %,"Thiel protégé; policy veto-point"
